Date,GMSL,CO2 conc.,CO2 emissions,Long-run NO2 concentration,Per-capita NO2 emissions in CO2 equivalents,Long-run CH4 concentration,Per-capita methane emissions in CO2 equivalents,Global avg temp. anomaly relative to 1961-1990,Sea surface temperature anomaly (relative to 1961-90 average),Sea surface temperature anomaly (relative to 1961-90 average) trend,Sea surface temperature anomaly (relative to 1961-90 average) anomaly,Nino 1.2,Nino 3,Nino 3.4,Nino 3.4 trend,Nino 4,North Sea Ice Extent Avg,North Sea Ice Extent Min,South Sea Ice Extent Avg trend ,South Sea Ice Extent Max,South Sea Ice Extent Max trend,South Sea Ice Extent Min,South Sea Ice Extent Avg,South Sea Ice Extent Avg Raw,South Sea Ice Extent Raw Avg trend
31/07/1883,-178.5265625,290.979215,1003472180,276.2,0.170174,848.99,1.1076727,-0.41939723,-0.30215,-0.575959329,-0.524,21.43,25.66,27.21,-0.800477924,28.52,17.4236341,15.08238668,10.99563418,18.79070706,17.23117193,3.730082331,12.22109241,12.28567816,10.73085181
31/08/1883,-176.5383683,290.7317625,1004465117,276.2133333,0.170171167,849.08,1.107687,-0.431551035,-0.310941667,-0.57615228,-0.534833333,20.17,24.89,26.85,-0.799966589,28.31,17.4193376,15.07590194,10.99606094,18.79046844,17.23207353,3.729561363,12.22059875,12.28545999,10.7317608
30/09/1883,-174.5501742,290.48431,1005458053,276.2266667,0.170168333,849.17,1.1077013,-0.44370484,-0.319733333,-0.576345231,-0.545666667,20.25,24.66,26.58,-0.799455255,28.32,17.41504109,15.06941721,10.9964877,18.79022983,17.23297513,3.729040395,12.22010509,12.28524183,10.73266978
31/10/1883,-172.56198,290.2368575,1006450990,276.24,0.1701655,849.26,1.1077156,-0.455858645,-0.328525,-0.576538182,-0.5565,21.45,24.45,26.32,-0.79894392,28.5,17.41074459,15.06293247,10.99691446,18.78999121,17.23387673,3.728519426,12.21961142,12.28502366,10.73357877
30/11/1883,-170.5737858,289.989405,1007443927,276.2533333,0.170162667,849.35,1.1077299,-0.46801245,-0.337316667,-0.576731133,-0.567333333,22.23,24.74,26.43,-0.798432585,28.52,17.40644808,15.05644773,10.99734121,18.7897526,17.23477833,3.727998458,12.21911776,12.2848055,10.73448775
31/12/1883,-168.5855917,289.7419525,1008436863,276.2666667,0.170159833,849.44,1.1077442,-0.480166255,-0.346108333,-0.576924085,-0.578166667,22.62,24.8,26.44,-0.79792125,28.31,17.40215158,15.049963,10.99776797,18.78951398,17.23567993,3.72747749,12.2186241,12.28458734,10.73539674
31/01/1884,-166.5973975,289.4945,1009429800,276.28,0.170157,849.53,1.1077585,-0.49232006,-0.3549,-0.577117036,-0.589,24.57,25.25,26.47,-0.797409915,28.21,17.39785507,15.04347826,10.99819473,18.78927536,17.23658153,3.726956522,12.21813043,12.28436917,10.73630572
29/02/1884,-166.7605919,289.4370521,1010072692,276.2925,0.17014375,849.62,1.107753433,-0.490553687,-0.353666667,-0.577309987,-0.596916667,26.1,26.12,26.75,-0.79689858,28.26,17.39355857,15.03699352,10.99862149,18.78903675,17.23748314,3.726435553,12.21763677,12.28415101,10.73721471
31/03/1884,-166.9237863,289.3796042,1010715583,276.305,0.1701305,849.71,1.107748367,-0.488787313,-0.352433333,-0.577502938,-0.604833333,27.3,27.17,27.26,-0.796387246,28.43,17.38926206,15.03050879,10.99904824,18.78879813,17.23838474,3.725914585,12.21714311,12.28393285,10.7381237
30/04/1884,-167.0869806,289.3221563,1011358475,276.3175,0.17011725,849.8,1.1077433,-0.48702094,-0.3512,-0.577695889,-0.61275,26.38,27.79,28.03,-0.795875911,28.72,17.38496556,15.02402405,10.999475,18.78855951,17.23928634,3.725393617,12.21664944,12.28371468,10.73903268
